t_MJD,t_disc,dt_days,dt_years,z,nu_GHz,F_mJy,Name,up
53568.5,53401.0,,0.4589041095890411,0.010411,8.4,1.15,ARP 299-B AT1,
53840.5,53401.0,,1.204109589041096,0.010411,8.4,7.67,ARP 299-B AT1,
56074.5,53401.0,,7.324657534246575,0.010411,8.4,1.557,ARP 299-B AT1,
56358.5,53401.0,,8.102739726027398,0.010411,8.4,2.416,ARP 299-B AT1,
56452.5,53401.0,,8.360273972602739,0.010411,8.4,0.77,ARP 299-B AT1,
56601.5,53401.0,,8.76849315068493,0.010411,8.4,1.349,ARP 299-B AT1,
57176.5,53401.0,,10.343835616438357,0.010411,8.4,0.878,ARP 299-B AT1,
57605.5,53401.0,,11.51917808219178,0.010411,8.4,0.562,ARP 299-B AT1,
,,3.87,0.0106027397260273,0.354,4.9,0.25,Sw J16644+57,
,,4.76,0.0130410958904109,0.354,4.9,0.34,Sw J16644+57,
,,5.0,0.0136986301369863,0.354,4.9,0.34,Sw J16644+57,
,,5.79,0.0158630136986301,0.354,4.9,0.61,Sw J16644+57,
,,6.78,0.0185753424657534,0.354,4.9,0.82,Sw J16644+57,
,,7.77,0.0212876712328767,0.354,4.9,1.48,Sw J16644+57,
,,9.79,0.0268219178082191,0.354,4.9,1.47,Sw J16644+57,
,,14.98,0.0410410958904109,0.354,4.9,1.8,Sw J16644+57,
,,22.78,0.0624109589041095,0.354,4.9,2.1,Sw J16644+57,
,,35.86,0.0982465753424657,0.354,4.9,4.62,Sw J16644+57,
,,50.65,0.1387671232876712,0.354,4.9,4.84,Sw J16644+57,
,,67.61,0.1852328767123287,0.354,4.9,5.86,Sw J16644+57,
,,94.64,0.2592876712328767,0.354,4.9,9.06,Sw J16644+57,
,,111.62,0.3058082191780822,0.354,4.9,9.1,Sw J16644+57,
,,126.51,0.3466027397260274,0.354,4.9,9.1,Sw J16644+57,
,,143.62,0.3934794520547945,0.354,4.9,11.71,Sw J16644+57,
,,164.38,0.4503561643835616,0.354,4.9,12.93,Sw J16644+57,
,,174.47,0.478,0.354,4.9,12.83,Sw J16644+57,
,,197.41,0.5408493150684931,0.354,4.9,13.29,Sw J16644+57,
,,213.32,0.5844383561643836,0.354,4.9,12.43,Sw J16644+57,
,,245.23,0.6718630136986301,0.354,4.9,12.17,Sw J16644+57,
,,302.95,0.83,0.354,4.9,12.05,Sw J16644+57,
,,383.92,1.0518356164383562,0.354,4.9,12.24,Sw J16644+57,
,,453.66,1.2429041095890412,0.354,4.9,11.12,Sw J16644+57,
,,582.31,1.5953698630136983,0.354,4.9,8.9,Sw J16644+57,
,,645.0,1.7671232876712328,0.354,4.9,8.24,Sw J16644+57,
,,651.1,1.7838356164383562,0.354,4.9,8.63,Sw J16644+57,
,,787.6,2.157808219178082,0.354,4.9,6.23,Sw J16644+57,
,,1032.0,2.8273972602739725,0.354,4.9,4.21,Sw J16644+57,
,,1105.0,3.0273972602739727,0.354,4.9,3.52,Sw J16644+57,
,,1373.0,3.761643835616439,0.354,4.9,2.34,Sw J16644+57,
,,1894.0,5.189041095890411,0.354,4.9,1.47,Sw J16644+57,
,,141.871,0.3886876712328767,0.0206,5.0,1.91,ASASSN-14li,
,,207.83,0.5693972602739726,0.0206,5.0,1.7417,ASASSN-14li,
,,246.75,0.6760273972602739,0.0206,5.0,1.562,ASASSN-14li,
,,303.5145833,0.8315468035616439,0.0206,5.0,1.2565,ASASSN-14li,
,,379.7,1.0402739726027397,0.0206,5.0,0.873150048,ASASSN-14li,
,,422.0,1.1561643835616435,0.00411,6.0,432.0,IGR J12580+0134,
,,489.0,1.3397260273972602,0.00411,6.0,362.0,IGR J12580+0134,
,,1704.0,4.668493150684932,0.00411,5.5,36.32,IGR J12580+0134,
,,1739,4.76,0.00411,6.0,33.6,IGR J12580+0134,
,,1971,5.4,0.00411,6.0,27,IGR J12580+0134,
,,2037,5.58,0.00411,6.0,61,IGR J12580+0134,
,,609.0,1.6684931506849314,0.0173,1.53,1.19,XMMSL1 J0740-85,
,,769.0,2.106849315068493,0.0173,1.7,0.89,XMMSL1 J0740-85,
,,875.0,2.3972602739726026,0.0173,1.6,0.65,XMMSL1 J0740-85,
,,55,0.15,0.051,5,0.09,AT2019dsg,
,,82,0.22,0.051,5,0.26,AT2019dsg,
,,161,0.44,0.051,5,0.56,AT2019dsg,
,,300,0.82,0.051,5,0.79,AT2019dsg,
,,561,1.54,0.051,6,0.13,AT2019dsg,
55741.0,55698.0,43.0,0.1178082191780822,1.1853,4.5,0.88,Sw J2058+05,
57522.0,55698.0,1824.0,4.997260273972603,1.1853,5.5,0.225,Sw J2058+05,
57052.0,55729.5,1322.5,3.6232876712328768,0.89,5.5,0.076,Sw J1112-82,
57521.5,55729.5,1792.0,4.909589041095891,0.89,5.5,0.07,Sw J1112-82,
57102.0,56580.0,522.0,1.4301369863013698,0.018,2.9,4.4,CNSS J0019+00,
57131.0,56580.0,551.0,1.5095890410958903,0.018,2.9,5.1,CNSS J0019+00,
57152.0,56580.0,572.0,1.5671232876712329,0.018,2.9,7.49,CNSS J0019+00,
57185.0,56580.0,605.0,1.6575342465753424,0.018,3.0,7.77,CNSS J0019+00,
57310.0,56580.0,730.0,2.0,0.018,2.9,7.25,CNSS J0019+00,
57577.0,56580.0,997.0,2.7315068493150685,0.018,2.5,4.44,CNSS J0019+00,
,,32.0,0.0876712328767123,0.0457,15.5,0.085,AT2018hyz,Yes
,,697.0,1.9095890410958904,0.0457,0.9,0.9,AT2018hyz,Yes
,,705.0,1.9315068493150684,0.0457,3.0,0.45,AT2018hyz,Yes
,,972.0,2.663013698630137,0.0457,5.0,1.388,AT2018hyz,No
