,dt_days,dt_years,z,nu_GHz,F_mJy,Name
0,4.07,0.01115068493150685,1.19325,8.5,0.033,AT2022cmc
1,5.07,0.013890410958904111,1.19325,8.5,0.043000000000000003,AT2022cmc
2,6.06,0.016602739726027396,1.19325,8.5,0.073,AT2022cmc
3,8.8,0.02410958904109589,1.19325,8.5,0.108,AT2022cmc
4,10.83,0.02967123287671233,1.19325,8.5,0.108,AT2022cmc
5,11.78,0.032273972602739724,1.19325,8.5,0.10200000000000001,AT2022cmc
6,15.13,0.04145205479452055,1.19325,8.5,0.137,AT2022cmc
7,20.8,0.05698630136986302,1.19325,8.5,0.17,AT2022cmc
8,47.73,0.13076712328767123,1.19325,8.5,0.27,AT2022cmc
0,39.0,0.10684931506849316,0.159,5.04,0.047,AT2020opy
1,162.0,0.4438356164383562,0.159,5.5,0.091,AT2020opy
2,330.0,0.9041095890410958,0.159,5.5,0.256,AT2020opy
0,120.0,0.3287671232876712,0.0325,5.5,0.543,AT2020vwl
1,209.0,0.5726027397260274,0.0325,5.5,0.504,AT2020vwl
2,305.0,0.8356164383561644,0.0325,5.5,0.28400000000000003,AT2020vwl
3,373.0,1.021917808219178,0.0325,5.6,0.156,AT2020vwl
4,430.0,1.178082191780822,0.0325,5.0,0.145,AT2020vwl
5,575.0,1.5753424657534247,0.0325,5.5,0.179,AT2020vwl
6,65.09305999999924,0.17833715068492942,0.022,5.511,0.383,AT2019azh
13,93.86041999999725,0.2571518356164308,0.022,5.5,0.375,AT2019azh
17,101.99375000000146,0.2794349315068533,0.022,5.51,0.401,AT2019azh
28,131.986109999998,0.36160578082191236,0.022,5.511,0.522,AT2019azh
42,182.79583000000275,0.5008104931506925,0.022,5.511,0.707,AT2019azh
80,458.92985999999655,1.2573420821917713,0.022,5.511,1.55,AT2019azh
91,666.3300000000017,1.8255616438356213,0.022,5.511,2.1630000000000003,AT2019azh
106,749.2940000000017,2.052860273972607,0.022,5.512,1.5050000000000001,AT2019azh
121,848.8347199999989,2.3255745753424626,0.022,5.51,1.035,AT2019azh
