,name,mjd,telescope
0,asassn-14li,56991.4817093345,XRT
1,asassn-14li,56993.9171616528,XRT
2,asassn-14li,56995.3114204259,XRT
3,asassn-14li,56998.2595656771,XRT
4,asassn-14li,57001.6367332002,XRT
5,asassn-14li,57004.1969845324,XRT
6,asassn-14li,57007.2958036181,XRT
7,asassn-14li,57010.8348527963,XRT
8,asassn-14li,57013.0987597292,XRT
9,asassn-14li,57016.0918833287,XRT
10,asassn-14li,57019.576081037,XRT
11,asassn-14li,57022.7446322407,XRT
12,asassn-14li,57029.5821625255,XRT
13,asassn-14li,57033.143692625,XRT
14,asassn-14li,57036.1102451019,XRT
15,asassn-14li,57039.2342960498,XRT
16,asassn-14li,57042.2957489086,XRT
17,asassn-14li,57045.6245752732,XRT
18,asassn-14li,57048.8207527951,XRT
19,asassn-14li,57051.5338896343,XRT
20,asassn-14li,57054.1395430602,XRT
21,asassn-14li,57057.5597796678,XRT
22,asassn-14li,57060.1651330567,XRT
23,asassn-14li,57065.8494846215,XRT
24,asassn-14li,57068.7795342384,XRT
25,asassn-14li,57071.7367643056,XRT
26,asassn-14li,57074.9103796586,XRT
27,asassn-14li,57077.6326997072,XRT
28,asassn-14li,57081.1894502107,XRT
29,asassn-14li,57086.9174779375,XRT
30,asassn-14li,57089.3806325012,XRT
31,asassn-14li,57099.420950706,XRT
32,asassn-14li,57102.6546708657,XRT
33,asassn-14li,57105.3110374722,XRT
34,asassn-14li,57109.2081121285,XRT
35,asassn-14li,57111.9331827396,XRT
36,asassn-14li,57114.1283931458,XRT
37,asassn-14li,57117.7202867546,XRT
38,asassn-14li,57120.316608059,XRT
39,asassn-14li,57123.5776759838,XRT
40,asassn-14li,57126.2433646157,XRT
41,asassn-14li,57129.4002416493,XRT
42,asassn-14li,57132.5597781968,XRT
43,asassn-14li,57136.5596796806,XRT
44,asassn-14li,57139.3475073275,XRT
45,asassn-14li,57147.5975520891,XRT
46,asassn-14li,57150.2560302917,XRT
47,asassn-14li,57153.4859990023,XRT
48,asassn-14li,57156.6468968229,XRT
